RESPID,INTERVIEW_START_W157,INTERVIEW_END_W157,DEVICE_TYPE_W157,SVYMODE_W157,LANG_W157,X_AGECAT_W157,X_EDUCCAT2_W157,EMPLSIT_W157,JOBNUM_W157,PAYTYPE_W157,JOBTYPEMOD_W157,INDUSTRYCOMBO_W157,LOOKLKLY_W157,JOBSEC_W157,FINDJOB_W157,JOBDUTYMOD_a_W157,JOBDUTYMOD_b_W157,JOBDUTYMOD_c_W157,JOBDUTYMOD_d_W157,NUMEMP_W157,JOBSAT_W157,WORKSATIS_a_W157,WORKSATIS_b_W157,WORKSATIS_c_W157,WORKSATIS_d_W157,WORKSATIS_e_W157,WORKSATIS_f_W157,WORKSATIS_g_W157,WORKSATIS_h_W157,WORKSATIS_i_W157,WORKSATIS_j_W157,WORKSATIS_k_W157,PAYRS_a_W157,PAYRS_b_W157,PAYRS_c_W157,PAYRS_d_W157,PAYRS_e_W157,JOBCAREER_W157,WRKRS_W157,JOBDO_W157,JOBRESP1_W157,JOBRESP2_a_W157,JOBRESP2_b_W157,JOBRESP2_c_W157,WFHOPTION_W157,WFHPAST_W157,WFHCURR_W157,WFHDAYOPT_W157,WFHPOSTCVDMOD_W157,WFHSTAYJOB_W157,WFHIMPACT_a_W157,WFHIMPACT_b_W157,WFHIMPACT_c_W157,WFHIMPACT_d_W157,WFHIMPACT_e_W157,WFHIMPACT_f_W157,REMOTECALLS1_W157,REMOTECALLS4_W157,TRACKKNOW_a_W157,TRACKKNOW_b_W157,TRACKKNOW_c_W157,TRACKKNOW_d_W157,TRACKKNOW_e_W157,TRACKKNOW_f_W157,TRACKVIEW_W157,COVIDMEASURE_W157,TRAINNEED_W157,TRAINWAY1_W157,TRAINWAY2_W157,TRAINWAY3_W157,TRAINWAY4_W157,TRAINWAY5_W157,GOTTRAIN_W157,TRAINRS_a_W157,TRAINRS_b_W157,TRAINRS_c_W157,TRAINRS_d_W157,TRAINRS_e_W157,TRAINRS_f_W157,AIWRKTRAIN_W157,NOTRAINRS_a_W157,NOTRAINRS_b_W157,NOTRAINRS_c_W157,NOTRAINRS_d_W157,NOTRAINRS_e_W157,SKILLIMP_a_W157,SKILLIMP_b_W157,SKILLIMP_c_W157,SKILLIMP_d_W157,SKILLIMP_e_W157,SKILLIMP_f_W157,SKILLIMP_g_W157,SKILLIMP_h_W157,SKILLIMP_i_W157,AIWRKHEARD_W157,AIWRKFEEL_a_W157,AIWRKFEEL_b_W157,AIWRKFEEL_c_W157,AIWRKFEEL_d_W157,AIWRKDONE1_W157,AIWRKDONE2_W157,AIWRKOPPO_W157,CHATWRKHRD_W157,CHATWRK_W157,CHATWRKUSE_a_W157,CHATWRKUSE_b_W157,CHATWRKUSE_c_W157,CHATWRKUSE_d_W157,CHATWRKUSE_e_W157,CHATWRKUSE_f_W157,CHATWRKUSE_g_W157,CHATWRKIMP_a_W157,CHATWRKIMP_b_W157,NOCHATUSE_a_W157,NOCHATUSE_b_W157,NOCHATUSE_c_W157,NOCHATUSE_d_W157,CHATWRKPLC_W157,WRKDEI_W157,DIVEFFORT_W157,F_METRO,F_CREGION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W157
15700001,09-Oct-2024 05:45:27,09-Oct-2024 05:51:45,1,1,9,3,2,2,1,4,4,6,5,2,3,2,2,1,1,1,2,,,,,,,,,,,,,,,,,1,,2,2,2,2,2,2,3,,,3,,,,,,,,2,2,,,,,,,,,1,,,,,,1,1,3,3,3,1,3,2,,,,,,2,2,3,3,4,2,3,4,3,2,2,2,1,1,5,5,2,3,,,,,,,,,,,,,,,,1,,2,3,3,3,1,3,2,2,,1,1,1,1,1,1,1,1,3,2,,2,,2,3,1,3,3,2,1,2,1.408658049601175
15700002,09-Oct-2024 19:25:48,09-Oct-2024 19:38:48,1,1,9,2,6,1,1,1,1,11,2,2,4,2,2,2,1,6,3,2,2,3,2,4,2,4,2,2,2,3,,,,,,1,,3,2,1,2,2,2,4,,,3,,,,,,,,1,1,2,2,2,2,2,6,3,3,1,,,,,,1,2,3,3,3,2,3,2,,,,,,1,2,3,3,4,1,2,3,1,2,1,1,2,1,4,4,3,2,3,2,2,2,2,1,2,1,2,3,,,,,1,1,1,1,2,2,2,1,1,6,2,,1,1,1,1,1,1,2,1,4,3,2,,5,2,3,1,9,3,2,1,3,0.7322198829845005
15700003,08-Oct-2024 20:02:41,08-Oct-2024 20:17:35,3,1,9,2,2,1,2,3,1,11,5,1,2,1,1,1,2,1,1,99,1,1,1,1,99,99,2,6,99,99,,,,,,1,,3,3,6,1,2,2,4,,,4,,,,,,,,4,,99,99,99,4,99,99,99,3,1,,,,,,2,,,,,,,,3,3,3,3,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,5,4,3,2,5,,,,,,,,,,3,3,3,3,3,3,3,1,3,3,2,1,3,2,2,,1,1,1,1,1,1,1,1,2,4,1,,4,1,1,1,9,1,2,1,2,1.3550960793938827
15700004,08-Oct-2024 17:36:36,08-Oct-2024 17:42:48,1,1,9,2,5,1,1,1,1,11,4,2,4,2,2,2,2,6,3,3,3,4,3,4,3,4,3,3,3,3,,,,,,3,,1,3,2,3,2,2,5,,,4,,,,,,,,1,2,2,2,2,2,2,2,3,1,1,,,,,,2,,,,,,,,3,3,3,2,1,3,2,4,4,3,1,3,5,1,2,2,2,2,2,5,5,3,2,5,,,,,,,,,,3,1,3,3,1,1,3,2,1,3,2,1,1,5,2,,1,1,1,1,1,10,,3,6,2,,2,,2,4,1,9,4,1,1,3,0.3709083038020689
15700005,08-Oct-2024 18:38:01,08-Oct-2024 18:44:04,1,1,9,2,4,1,1,1,3,5,2,3,3,2,2,1,1,6,4,3,4,4,5,4,5,5,3,3,5,5,3,1,3,3,2,1,,3,3,5,4,2,1,5,5,1,1,,3,5,3,3,3,3,2,1,1,1,3,1,1,6,1,3,1,,,,,,2,,,,,,,,3,3,3,3,1,1,1,2,3,1,1,3,2,1,2,2,2,1,1,4,3,2,2,5,,,,,,,,,,3,1,3,3,3,1,2,2,1,3,2,2,2,4,2,,1,1,1,1,4,12,,3,6,1,,2,,1,2,1,9,3,1,2,2,0.5988586856241931
15700006,10-Oct-2024 20:51:47,10-Oct-2024 20:59:34,3,1,9,2,2,1,1,2,3,8,3,3,4,2,2,1,1,6,3,2,4,5,4,2,3,3,3,2,4,5,2,1,1,3,1,3,,3,5,3,2,4,1,5,5,1,2,,3,3,3,3,3,3,2,2,1,1,1,1,1,6,3,2,1,,,,,,2,,,,,,,,3,3,3,3,3,1,1,3,3,2,2,3,1,2,2,2,2,1,1,5,3,2,3,,,,,,,,,,,,,,,,3,1,2,4,3,2,2,3,2,2,,1,1,1,1,1,9,,3,6,1,,1,,1,2,1,7,3,2,2,2,1.4250345512751859
15700007,08-Oct-2024 14:35:24,08-Oct-2024 14:41:35,1,1,9,1,4,2,1,2,1,4,4,4,4,1,1,1,2,1,5,5,2,5,4,3,4,4,3,1,3,5,,,,,,3,,3,4,3,2,4,2,6,,,1,,,,,,,,4,,1,2,3,4,5,2,3,1,1,,,,,,2,,,,,,,,3,3,3,3,1,1,1,3,2,4,2,3,1,1,1,2,2,1,1,5,4,3,1,5,,,,,,,,,,3,3,1,3,3,1,4,1,4,2,1,2,2,4,2,,1,1,1,1,6,9,,3,5,2,,2,,2,4,1,8,5,1,1,2,1.205462110294894
15700008,08-Oct-2024 15:35:19,08-Oct-2024 15:43:11,1,1,9,2,5,1,1,1,1,9,3,3,5,2,2,1,2,6,3,3,2,4,2,2,2,3,3,2,3,3,,,,,,2,,3,2,1,2,2,1,3,1,,1,2,1,1,3,1,1,1,1,1,3,1,2,3,3,3,3,,2,,,,1,,1,1,1,1,2,1,3,1,,,,,,1,1,1,1,3,2,2,1,1,1,1,1,1,1,4,3,4,1,2,1,1,1,2,1,1,1,3,3,,,,,2,1,3,1,4,3,2,2,1,5,2,,1,1,1,1,2,9,,3,6,2,,2,,2,4,1,9,4,1,2,3,0.6345175373465297
15700009,08-Oct-2024 18:55:57,08-Oct-2024 19:16:44,1,1,10,2,5,1,1,4,4,7,2,3,4,1,2,1,2,6,3,,,,,,,,,,,,,,,,,3,,2,4,6,2,3,2,3,,,2,,,,,,,,2,1,,,,,,,,,1,,,,,,1,1,2,1,3,2,3,2,,,,,,1,2,1,2,2,4,3,3,2,2,2,2,1,1,5,3,2,2,5,,,,,,,,,,2,2,1,,,3,,1,1,1,2,1,1,5,1,8,2,4,3,4,1,1,1,1,1,3,1,,3,1,1,3,1,2,2,2,1,1.5852502551205714
15700010,11-Oct-2024 02:34:02,11-Oct-2024 02:36:46,1,1,9,2,2,2,1,2,1,4,1,4,4,1,2,1,2,6,3,5,4,5,4,3,3,2,3,2,3,4,1,1,1,1,1,3,,3,4,1,1,3,2,5,,,1,,,,,,,,3,,1,1,1,4,3,3,1,1,2,,4,,,,2,,,,,,,,1,1,1,2,2,2,3,3,3,2,3,3,2,2,3,,,,,,,,3,,,,,,,,,,,,,,,,1,4,1,3,2,2,2,3,2,2,,1,2,2,1,1,1,2,1,4,2,,1,,2,4,1,1,4,2,2,1,1.3676407248538598
